MangaID,Title,Type,Volumes,Members,Score,Author,CoverMedium,CoverLarge
2459,Komatta Toki ni wa Hoshi ni Kike,Manga,26,8700,8.27,Abe,https://cdn.myanimelist.net/images/manga/3/275336.jpg,https://cdn.myanimelist.net/images/manga/3/275336l.jpg
3042,SoreMachi: And Yet the Town Moves,Manga,16,12342,8.27,Ishiguro,https://cdn.myanimelist.net/images/manga/1/185090.jpg,https://cdn.myanimelist.net/images/manga/1/185090l.jpg
14790,Magi: The Labyrinth of Magic,Manga,37,164543,8.27,Ohtaka,https://cdn.myanimelist.net/images/manga/3/282487.webp,https://cdn.myanimelist.net/images/manga/3/282487l.webp
30079,Annarasumanara,Manhwa,3,73856,8.27,Ha,https://cdn.myanimelist.net/images/manga/3/157589.jpg,https://cdn.myanimelist.net/images/manga/3/157589l.jpg
43921,Sword Art Online: Progressive,Light Novel,NULL,23677,8.27,BUNBUN,https://cdn.myanimelist.net/images/manga/2/77447.webp,https://cdn.myanimelist.net/images/manga/2/77447l.webp
47022,Sakamichi no Apollon: Bonus Track,Manga,1,7307,8.27,Kodama,https://cdn.myanimelist.net/images/manga/2/82944.jpg,https://cdn.myanimelist.net/images/manga/2/82944l.jpg
70921,Date A Live: Encore,Light Novel,NULL,2800,8.27,Tachibana,https://cdn.myanimelist.net/images/manga/2/121831.jpg,https://cdn.myanimelist.net/images/manga/2/121831l.jpg
445,GTO: The Early Years,Manga,31,25506,8.26,Fujisawa,https://cdn.myanimelist.net/images/manga/2/216051.jpg,https://cdn.myanimelist.net/images/manga/2/216051l.jpg
1014,H2,Manga,34,13498,8.26,Adachi,https://cdn.myanimelist.net/images/manga/1/306875.jpg,https://cdn.myanimelist.net/images/manga/1/306875l.jpg
1075,7 Seeds,Manga,35,27501,8.26,Tamura,https://cdn.myanimelist.net/images/manga/3/196607.jpg,https://cdn.myanimelist.net/images/manga/3/196607l.jpg
5255,Dengeki Daisy,Manga,16,122130,8.26,Motomi,https://cdn.myanimelist.net/images/manga/1/152369.jpg,https://cdn.myanimelist.net/images/manga/1/152369l.jpg
7776,A Certain Scientific Railgun,Manga,21,31795,8.26,Kamachi,https://cdn.myanimelist.net/images/manga/1/149212.jpg,https://cdn.myanimelist.net/images/manga/1/149212l.jpg
8652,Zankoku na Kami ga Shihai suru,Manga,17,12049,8.26,Hagio,https://cdn.myanimelist.net/images/manga/2/155732.jpg,https://cdn.myanimelist.net/images/manga/2/155732l.jpg
9546,Capeta,Manga,32,6755,8.26,Soda,https://cdn.myanimelist.net/images/manga/3/286585.jpg,https://cdn.myanimelist.net/images/manga/3/286585l.jpg
9738,Higurashi WHEN THEY CRY: Festival Accompanying Arc,Manga,8,11704,8.26,Suzuragi,https://cdn.myanimelist.net/images/manga/5/259909.jpg,https://cdn.myanimelist.net/images/manga/5/259909l.jpg
55869,Rokka: Braves of the Six Flowers,Light Novel,6,15780,8.26,Yamagata,https://cdn.myanimelist.net/images/manga/1/163592.jpg,https://cdn.myanimelist.net/images/manga/1/163592l.jpg
56755,Grimgar of Fantasy and Ash,Light Novel,NULL,24682,8.26,Jyumonji,https://cdn.myanimelist.net/images/manga/2/174954.jpg,https://cdn.myanimelist.net/images/manga/2/174954l.jpg
91514,Boarding School Juliet,Manga,16,69112,8.26,Kaneda,https://cdn.myanimelist.net/images/manga/3/188967.jpg,https://cdn.myanimelist.net/images/manga/3/188967l.jpg
102330,Wandering Witch: The Journey of Elaina,Light Novel,NULL,13817,8.26,Azure,https://cdn.myanimelist.net/images/manga/1/212049.jpg,https://cdn.myanimelist.net/images/manga/1/212049l.jpg
102343,To Your Eternity,Manga,25,115646,8.26,Ooima,https://cdn.myanimelist.net/images/manga/3/189781.jpg,https://cdn.myanimelist.net/images/manga/3/189781l.jpg
1097,Saiyuuki Gaiden,Manga,4,12472,8.25,Minekura,https://cdn.myanimelist.net/images/manga/3/155034.jpg,https://cdn.myanimelist.net/images/manga/3/155034l.jpg
10884,Ace of the Diamond,Manga,47,27386,8.25,Terajima,https://cdn.myanimelist.net/images/manga/1/14653.jpg,https://cdn.myanimelist.net/images/manga/1/14653l.jpg
17904,Princess Jellyfish,Manga,17,47855,8.25,Higashimura,https://cdn.myanimelist.net/images/manga/3/149209.jpg,https://cdn.myanimelist.net/images/manga/3/149209l.jpg
43915,Feng Shen Ji II,Manhua,NULL,14658,8.25,Deng,https://cdn.myanimelist.net/images/manga/3/177766.jpg,https://cdn.myanimelist.net/images/manga/3/177766l.jpg
44319,Puella Magi Madoka★Magica: The different story,Manga,3,18725,8.25,Magica Quartet,https://cdn.myanimelist.net/images/manga/3/78173.jpg,https://cdn.myanimelist.net/images/manga/3/78173l.jpg
44711,Feng Shen Ji III,Manhua,NULL,11777,8.25,Deng,https://cdn.myanimelist.net/images/manga/1/78927.jpg,https://cdn.myanimelist.net/images/manga/1/78927l.jpg
56743,Is It Wrong to Try to Pick Up Girls in a Dungeon?,Light Novel,NULL,31883,8.25,Yasuda,https://cdn.myanimelist.net/images/manga/1/186978.jpg,https://cdn.myanimelist.net/images/manga/1/186978l.jpg
72025,Kengan Ashura,Manga,27,65690,8.25,Daromeon,https://cdn.myanimelist.net/images/manga/1/210808.jpg,https://cdn.myanimelist.net/images/manga/1/210808l.jpg
77465,Higurashi no Naku Koro ni - Dai 3-wa: Tatarigoroshi-hen,Light Novel,2,2010,8.25,Ryukishi07,https://cdn.myanimelist.net/images/manga/1/135193.jpg,https://cdn.myanimelist.net/images/manga/1/135193l.jpg
96044,Taishou Otome Otogibanashi,Manga,5,28123,8.25,Kirioka,https://cdn.myanimelist.net/images/manga/2/173765.jpg,https://cdn.myanimelist.net/images/manga/2/173765l.jpg
