Title,Type,Volumes,Members,Score
Kanojo no Imouto to Kiss wo Shita.,Manga,NULL,990,6.65
Atatakai Yuki,One-shot,NULL,623,6.65
Robot x Laserbeam,Manga,7,8915,6.65
Ruru Chouchou,One-shot,NULL,457,6.64
Douki to Tawawa,Doujinshi,1,311,6.64
Bimajo no Ayano-san,Manga,2,3192,6.64
9th Sleep,Manga,1,1040,6.64
Shooting Star,Manga,1,1044,6.64
Mado,One-shot,NULL,881,6.64
"Onna dakara, to Party wo Tsuihou sareta node Densetsu no Majo to Saikyou Tag wo Kumimashita",Manga,NULL,889,6.64
Naruto: Konoha Shinden - Yukemuri Ninpouchou,Manga,2,2175,6.64
Granblue Fantasy,Manga,7,2388,6.64
Parabellum,Manga,3,466,6.64
Ore ga Heroine wo Tasukesugite Sekai ga Little Apocalypse!NULL,Light-Novel,16,1240,6.64
Okashi na Tensei: Saikyou Pâtissier Isekai Kourin,Manga,NULL,733,6.64
Cerberus,Manga,10,4770,6.64
Chigireta Heart,Manga,1,428,6.64
White Angels Have No Wings,Manhwa,NULL,574,6.64
Voiceful,Manga,1,2194,6.64
Hokkenshitsu,Manga,2,546,6.64
Iketeru Police,Manga,9,639,6.64
Katakoto no Niwa,Manga,1,600,6.64
Postman,One-shot,NULL,1097,6.64
Chiki Chiki Banana,Manga,1,402,6.64
Jitsu wa Watashi Sexless de Nayandemashita,Manga,1,1761,6.64
Haru no Ongaeshi,One-shot,NULL,732,6.64
Kimi ga Kimi de Aru Tameni,Manga,1,274,6.64
Ikinari Osananajimi!!,Manga,1,1551,6.64
Doukyuusei ni Koi wo Shita,Manga,7,678,6.64
Akaneiro Confiture,Manga,1,577,6.64
Otaku datte Gal to Koi Shitai,Manga,1,2540,6.64
Ai★Kaimasse!,One-shot,NULL,3258,6.64
The Devil's Boy,Manhwa,NULL,451,6.64
Hokuto no Ken Rei Gaiden: Karei naru Fukushuusha,Manga,NULL,453,6.64
Furachi na Otokotachi,Manga,1,1291,6.64
"Rokuhime wa Kamigoei ni Koi wo Suru: Saikyou no Shugo Kishi, Tensei shite Mahou Gakuen ni Iku",Manga,NULL,1983,6.64
Kanojo Shoukan shimashita!NULL,Manga,NULL,834,6.64
Katsuai (Dakaretai),Manga,1,688,6.64
"Watashi, Maou.: Nazeka Yuusha ni Dekiai sareteimasu.",Manga,NULL,548,6.64
Dogashi Kaden,Manga,2,1603,6.64
Usotsuki Chocolate Syrup,One-shot,NULL,269,6.64
Koi to Sakura to Toshishita no Kimi,One-shot,NULL,697,6.64
"Sayounara Ryuusei, Konnichiwa Jinsei",Manga,NULL,10689,6.64
Bleach 4-koma: Komaburi,Manga,2,1805,6.64
Tamashizume,Manga,2,774,6.64
Watashi no Kishi-sama wa Minaraichuu!,One-shot,NULL,650,6.64
Princess no Kakurega,Manga,1,348,6.64
Mahou Sensou,Light-Novel,12,1693,6.64
Kaettekita Motoyuusha,Light-Novel,NULL,934,6.64
Succubus ja Nai mon!,Manga,NULL,1381,6.64
Happy Project,Manga,4,1619,6.64
Dei Ecchi Ei,Manga,3,1715,6.64
Youkai Watch,Manga,NULL,1436,6.64
Adashino-san wa Sude ni Shinderu.,Manga,2,740,6.64
Kidou Senshi Gundam: Silhouette Formula 91,Manga,1,625,6.64
Bishounen Tanteidan,Manga,NULL,1292,6.64
Alive,Manga,1,13869,6.64
Ghost King,Manhwa,NULL,1058,6.64
Shinja Zero no Megami-sama to Hajimeru Isekai Kouryaku,Manga,NULL,2960,6.64
"Hana Sakasu Te, Tsubomi no Kimi",One-shot,NULL,1397,6.64
Little Lady Mint,Manhwa,NULL,639,6.64
Caramel Diary,Manga,1,947,6.64
Koi wa Futago de Warikirenai,Manga,NULL,562,6.64
Gazer,One-shot,NULL,663,6.64
Ore dake Level ga Agaru Sekai de Akutoku Ryoushu ni Natteita,Manga,NULL,742,6.64
Himesama Tanuki no Koizanyou,Manga,9,1929,6.64
Manatsu no Blue,One-shot,NULL,521,6.64
Sheikh ni Sarawarete,Manga,1,379,6.64
Christmas no Mahou,One-shot,NULL,498,6.64
Prince to Yobanaide,One-shot,NULL,573,6.64
Azuke Honya,Manga,1,449,6.64
Sensei to Himitsu wo...,Manga,1,555,6.64
Chiisana Atari,One-shot,NULL,318,6.64
Kinjirareta Koi ni Ochite,Manga,1,278,6.64
Suki wo Choudai,Manga,1,1705,6.64
Hoshi no Sabaku: Talsha Night,Manga,1,282,6.64
Malicious Code,Manga,4,2189,6.64
Blassreiter Genetic,Manga,3,1001,6.64
Itoshiki Bodyguard,Manga,1,372,6.64
Dappou Tamer no Nariagari Boukentan: S-Rank Bishoujo Boukensha ga Ore no Juuma ni Natteimasu the Comic,Manga,NULL,929,6.64
Kimi Ochi,One-shot,NULL,488,6.64
Chisa x Pon,Manga,8,1532,6.64
The Lady's Law of Survival,Manhwa,NULL,881,6.64
Hata Kenjiro Shoki Sakuhinshuu: Hayate no Gotoku! no Mae,Manga,1,514,6.64
Karate Shoukoushi Monogatari,Manga,6,1633,6.64
24-jikan Renaichuu,One-shot,NULL,906,6.64
Billion Girl,Manga,10,2602,6.64
Mukurozumi no Volte,Manga,3,522,6.64
"Akuyaku Reijou ni nanka Narimasen. Watashi wa ""Futsuu"" no Koushaku Reijou desu!",Manga,NULL,1612,6.64
Niwa ni wa Ninin,Manga,1,526,6.64
Wa no Kage,Manga,4,472,6.64
Kekkaishi e no Tensei,Manga,NULL,3627,6.64
Himitsu to Dance,One-shot,NULL,244,6.64
Manatsu no Nureta Toiki,Manga,1,3477,6.64
Mujou no Sekki,One-shot,NULL,228,6.64
Mugen Himitsu,One-shot,NULL,608,6.64
Fantasm,Manga,1,850,6.64
Mutou to Satou,Manga,7,2860,6.64
"Migite ni Juu, Hidarite ni Ai.",Manga,1,1488,6.64
Kimi no Kaori,Doujinshi,1,1583,6.64
Enemigo,Manga,1,433,6.64
Inuwashi Momo wa Yuruganai,Manga,NULL,1227,6.64
Chiisana Ai no Negai,Manga,1,227,6.64
Girls Monochrome,Doujinshi,1,375,6.64
Ichigo no Ouji to Entremets,Manga,3,356,6.64
Kuusen Madoushi Kouhosei no Kyoukan,Manga,4,1907,6.64
"Konya wa Tsuki ga Kirei desu ga, Toriaezu Shine",Manga,10,24714,6.64
Princess to KekkonNULL,Manga,1,485,6.64
Fushigi na Chikara de,Manga,1,453,6.64
Peach Girl Next,Manga,8,1153,6.64
Salomelic,Manga,1,813,6.64
Warau Ishi,Manga,3,1132,6.64
Tantei no Tantei,Manga,2,1856,6.64
Dragon Hunter,Manhwa,39,587,6.64
"Miseru, Mitsumeru, Futari dake",Manga,NULL,3866,6.64
ChäoS;HEAd: Blue Complex,Manga,2,1044,6.64
Booking Life,Manga,2,772,6.64
Mushoku no Eiyuu: Betsu ni Skill Nanka Iranakatta n da ga - Sainou Zero no Nariagari,Manga,NULL,8462,6.64
Tensei Shirayukihime wa Doku Ringo wo Tabetakunai,Manga,NULL,591,6.64
Chaosic Rune ES,Manga,5,565,6.64
"Ai ga Nakuccha, Komarimasu!",Manga,2,619,6.64
UFO Robo Grendizer,Manga,5,435,6.64
Tokkou,Manga,3,3547,6.64
Spy Kyoushitsu,Manga,3,2345,6.64
Finlandia: Santa Yousei Gakkou,Manga,2,696,6.63
Shino-chan wa Jibun no Namae ga Ienai,Manga,1,9687,6.63
Hungry Joker,Manga,3,9183,6.63
Haru to Arashi,Manga,2,1719,6.63
Soutaisei Moteron,Manga,2,2004,6.63
Kakusansei Million Arthur: Gunjou no Sorcery Lord,Manga,3,701,6.63
Hyougara Sanka,One-shot,NULL,456,6.63
Kokuhaku,Manga,1,427,6.63
EhNULL Heibon desu yoNULLNULL,Manga,3,4222,6.63
Shinonome Tantei Ibunroku,Manga,1,580,6.63
Oneesan no Jijou,Manga,1,341,6.63
Maigo no Bambi ni Kiss wo 1mm,Manga,1,275,6.63
Ayashimon,Manga,3,29614,6.63
Misetagari no Tsuyuno-chan,Manga,NULL,3492,6.63
The World Is Money and Power,Manhwa,NULL,892,6.63
Black Jack Alive,Manga,2,625,6.63
Antimagia,Manga,2,3255,6.63
Sekai Saisoku no Level Up,Manga,NULL,1739,6.63
"Jimi de Medatanai Watashi wa, Kyou de Owari ni Shimasu.",Manga,NULL,1228,6.63
Honey Sour Flavor,Manga,1,1064,6.63
20 Mensou ni Onegai!!,Manga,2,3364,6.63
Yu☆Gi☆Oh!: Transcend Game,Manga,NULL,1926,6.63
Tsukumono,One-shot,NULL,414,6.63
The Tax Reaper,Manhwa,NULL,533,6.63
Haisha,Manga,1,3859,6.63
Honey 2 Skip,Manga,2,494,6.63
Undecided,Manhwa,1,1334,6.63
"Chikai no Kiss wa, 16-sai",Manga,1,1031,6.63
To LOVE-Ru: Tokubetsu Yomikiri - Mikan to Maruru,One-shot,NULL,261,6.63
Blackberry,One-shot,NULL,1317,6.63
Toki☆Meka!,Manga,2,606,6.63
Cutlass,Manga,2,464,6.63
Endou Yasuko wa Yomayoichou ni Kakureteru,Manga,2,561,6.63
Chouchou Kurabe,Manga,1,773,6.63
Anitsuu!,Manga,1,1810,6.63
Pure Kare.,Manga,1,318,6.63
Stealth Symphony,Manga,3,3935,6.63
"Mata, Kataomou.",Manga,3,5608,6.63
"Kare wa Ima, Koi wo Shiteiru.",Manga,1,388,6.63
Ouji-tachi wa Izon suru,Manga,1,1974,6.63
Bokura no Unsei,Manga,1,1417,6.63
Un-Go: Inga-ron,Manga,1,775,6.63
Tsuki ni Mukatte Hoeru no sa,Manga,1,491,6.63
Mahou Joshi Gakuen no Suketto Kyoushi,Manga,5,1490,6.63
"Diabolik Lovers More,Blood: Mukami-hen",Manga,2,1247,6.63
Endro~!,Manga,1,437,6.63
Ningen Kyouki Katsuo!,Manga,10,1165,6.63
Hua Qian,Manhua,2,922,6.63
Shuukaku no Juunigatsu,Manga,2,1539,6.63
"Fuguushoku ""Kanteishi"" ga Jitsu wa Saikyou Datta: Naraku de Kitaeta Saikyou no ""Shingan"" de Musou suru",Manga,NULL,4074,6.63
Medarot,Manga,3,567,6.63
From Another World,One-shot,NULL,215,6.63
Oi!! Obasan,Manga,12,1337,6.63
Aru Hi Onna ni Natteshimatta Shinyuu ga Shiawase ni Naru made no Hanashi,Doujinshi,1,218,6.63
Nyoroko no Namahousou!,Manga,2,1120,6.63
Choppiri Toshiue demo Kanojo ni Shite Kuremasu kaNULL,Manga,8,6049,6.63
Hot Gimmick S,Light-Novel,1,966,6.63
Inugami-hime no Shimobe,Manga,2,3448,6.63
Kitsune to Pancake,Manga,4,657,6.63
Hikari-Man,Manga,8,1711,6.63
Gamerz Heaven!,Manga,4,1273,6.63
Cambria,Manga,3,524,6.63
Ookii Kouhai wa Suki desu kaNULL,Manga,4,7445,6.63
Onaji Sora wo Miteiru,Manga,1,638,6.63
Red Night Eve,Manga,9,1489,6.63
Dareka Kono Joukyou wo Setsumei shite Kudasai!: Keiyaku kara Hajimaru Wedding,Manga,NULL,609,6.63
The Runway,Manhwa,NULL,957,6.63
Satanister,Manga,5,924,6.63
Scandalous Honey,Manga,1,258,6.63
Shijou Saikyou Orc-san no Tanoshii Isekai Harem-zukuri,Manga,NULL,10460,6.63
Salman,Manga,2,1321,6.63
Oedo wa Nemurenai!,Manga,5,397,6.63
Miracle☆Gift,One-shot,NULL,571,6.63
Nihon no Kyoudai,Manga,1,1006,6.63
Yuuwaku no Bansan,Manga,1,2241,6.63
"16-sai, Shinkon Hajimemashita.",Manga,1,5175,6.63
Virgin Ripper,Manga,10,559,6.63
Souiu Toshigoro ni Nacchatta Toshi no Sa Shimai,Manga,1,441,6.63
Gakkyuu Houtei,Manga,3,4124,6.63
Naze Toudouin Seiya 16-sai wa Kanojo ga Dekinai no kaNULL,Manga,8,3125,6.63
Wakasugita Hakushaku Fujin,Manga,1,632,6.63
Saotome Shimai wa Manga no Tame nara!NULL,Manga,10,14211,6.63
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,Manga,12,7154,6.63
"Ittsumo Shiotaiou na Osananajimi dakedo, Ore ni Kataomoi shiteiru no ga Barebare de Kawaii.",Manga,NULL,1266,6.63
Rash!!,Manga,2,892,6.63
Mukashi Yuusha de Ima wa Hone,Manga,NULL,1421,6.63
Kinenbi Tokubetsu na H,Manga,1,1208,6.63
Meikyuu Romantica,Manga,3,780,6.63
Transjitter: Ibitsu na Karada,Manga,1,544,6.63
Isekai Teni shita node Cheat wo Ikashite Mahou Kenshi Yaru Koto ni Suru,Manga,NULL,4963,6.63
SoltyRei - The Red Lady,Manga,1,514,6.63
Bokkesan,Manga,2,2613,6.63
Comyushou VS Yuri,Doujinshi,NULL,780,6.63
Lip ni Shadow,Manga,1,1240,6.63
Kagerou Meikyuu,Manga,2,2938,6.63
Kamen Rider ZO,Manga,1,508,6.63
Daisy: How to Become the Duke's Fiancée,Manhwa,NULL,1081,6.63
Aka no Grimoire,Manga,NULL,711,6.63
Kagamigami,Manga,5,3369,6.63
Akuma na Kuchibiru,Manga,1,1512,6.63
Lemon no Himegoto,Manga,1,579,6.63
Owari to Hajimari no Miles,Manga,NULL,691,6.63
Nariyuki Makase no Tengu Michi,Manga,2,2359,6.63
Chef to Dorobou,Manga,1,411,6.63
Hetamen,Manga,3,1489,6.62
Oto☆Koi,Manga,1,1532,6.62
Idol wa xxxx nante Shimasen!,Manga,3,636,6.62
"Seichou Cheat de Nandemo Dekiruyou ni Natta ga, Mushoku dake wa Yamerarenai you desu",Manga,NULL,7081,6.62
Tsukiyo no Kokuhaku,Manga,1,393,6.62
"Kimi wa Maru de, Ano Hana no You de.",Manga,1,3591,6.62
Niwaka Reijou wa Outaishi Denka no Yatoware Konyakusha,Manga,NULL,1019,6.62
"Dragon Ball Z: Fukkatsu no ""F""",Manga,NULL,5716,6.62
Kakuu no Koibito,Manga,1,643,6.62
Kaijuu no Buki Shokunin,Manga,1,693,6.62
Inazuma Eleven Go,Manga,7,987,6.62
Happy Trouble Wedding,Manga,NULL,585,6.62
Getter Robo Hien: The Earth Suicide,Manga,3,881,6.62
Kira*Kira Crystal,One-shot,NULL,599,6.62
"Gokigen You, Koharu-san",Manga,NULL,675,6.62
Kajika,Manga,1,3608,6.62
"Sono Munou, Jitsu wa Sekai Saikyou no Mahoutsukai: Munou to Sagesumare, Kizoku-ke kara Oidasareta ga, Gift ""Tenseisha"" ga Kakusei shite Zense no Nouryoku ga Yomigaetta",Manga,NULL,560,6.62
GDGD-DOGS,Manga,3,6548,6.62
Dekiai Reijou wa Dannasama kara Nigeraremasen...! ♡ Anthology Comic,Manga,NULL,591,6.62
Kimi koso Boku no Koimonogatari,Manga,1,944,6.62
Masou Gakuen HxH,Manga,4,2881,6.62
Digimon Zero Two,Manhua,2,1356,6.62
Hunky Dory,Manga,3,806,6.62
Higan no Ishi,Manga,1,721,6.62
Suterareta Tensei Kenja: Mamono no Mori de Saikyou no Daima Teikoku wo Tsukuriageru,Manga,8,5601,6.62
Shoku no Hana,One-shot,NULL,298,6.62
The Heavenly Demon Destroys the Lich King's Murim,Manhwa,NULL,430,6.62
Girlfriend,Manga,5,3679,6.62
Tonari no Kuroki-san wa Nomu to Yabai,Manga,3,2841,6.62
Katsura Akira,Manga,1,2039,6.62
Renkinjutsushi desu. Jichou wa Gomibako ni Sutetekimashita.,Manga,6,299,6.62
Jigoku Mushi wo Kuu! Oninbo,Manga,2,445,6.62
Kago no Naka,One-shot,NULL,1693,6.62
Saratte Watashi no Knight,Manga,1,365,6.62
Konya mo Jirettai,Manga,1,1390,6.62
Watashitachi wa Koi wo Egakenai,Manga,NULL,1273,6.62
Horizon,Manga,3,843,6.62
Scandalous,Manga,1,1045,6.62
Goshiki no Fune,Manga,1,612,6.62
Be My Sweet Darling,Manhwa,3,1667,6.62
"Watashi no Shiranai, Senpai no 100-ko no Koto",Manga,NULL,1007,6.62
Shinsekai yori,Manga,7,10276,6.62
Villains Behind the Curtains,Manhwa,NULL,872,6.62
Tonari no Hoshi no Ouji-sama,One-shot,NULL,263,6.62
The Advanced Player of the Tutorial Tower,Manhwa,NULL,7554,6.62
#Tonari no Koitsu,One-shot,NULL,408,6.62
Masuraou,Manga,7,1604,6.62
Riding Bean,Manga,NULL,811,6.62
Panty & Stocking with Garterbelt,Manga,1,4057,6.62
Modokidomo,Manga,2,1676,6.62
Kenka Shoubai,Manga,24,1386,6.62
Dare ni mo Naisho,One-shot,NULL,692,6.62
Bullet Armors,Manga,6,2379,6.62
Ookiku Nattara Kekkon suru!,Manga,3,5983,6.62
Kashikoi Ken Rilienthal,Manga,4,482,6.62
Updater,Manhwa,NULL,1578,6.62
Saikyou no Madoushi. Hiza ni Ya wo Uketeshimatta node Inaka no Eihei ni Naru,Manga,NULL,6442,6.62
Barairo no Kaibutsu,Manga,1,1504,6.62
Blue Phobia,Manga,2,4230,6.62
"Korosareru nara, Isso Sakura no Ki no Shita de",Manga,1,2120,6.62
Abyss Rage,Manga,8,4114,6.62
Seishun no Tamago,Manga,1,659,6.62
Kuro-chan Chi no Oshiire ga Tsukaenai Wake,Manga,2,1478,6.62
Code Geass: Soubou no Oz,Manga,5,1686,6.62
Unmei no Onnanoko,Manga,1,478,6.62
Arion,Manga,5,663,6.62
Delivery Cinderella,Manga,11,3094,6.62
Toufuu (Fu)Kenbunroku,One-shot,NULL,469,6.62
Kyou kara Yonshimai,Manga,3,1773,6.62
Swot,Manga,3,8354,6.62
Honki Daseba Omae Koroseru,Manga,2,1470,6.62
Sora ni Taiyou ga Aru Kagiri,Manga,3,516,6.62
Deco-Deco Kiss,One-shot,NULL,1156,6.62
Gift: Under the Rainbow,Manga,2,629,6.62
Kotoba no Nai Love Letter,Manga,1,427,6.62
Koi wa Inamono Komarimono,Manga,1,310,6.62
Hajimari wa Suna no Ichiya,Manga,1,856,6.62
Girls Bravo,Manga,10,5518,6.62
Past Life Returner,Manhwa,NULL,1131,6.62
Shinigami Grimm to Fukou Shounen: Shiwasu Yuki Tanpenshuu,Manga,1,1101,6.62
Hazure Potion ga Shouyu Datta node Ryouri Suru Koto ni Shimashita,Manga,NULL,636,6.62
The Protection of Lariensa Gelinus,Manhwa,NULL,484,6.62
Kimi ni Chiisana Uso Hitotsu,Manga,3,645,6.62
Vandread,Manga,2,1874,6.62
PPPPPP,Manga,8,7282,6.62
Valhalla Ochinchin-kan,Manga,NULL,3871,6.62
Kawaikereba Hentai demo Suki ni Natte Kuremasu kaNULL,Manga,6,11880,6.62
Route 20,Manga,1,3142,6.62
Hokuto no Ken - Juuza Gaiden,Manga,2,987,6.62
Zetsubou Danshi to Chuugoku Musume,Manga,4,868,6.62
Haikou Dolls,Manga,2,514,6.62
Naturaturally,Manga,1,1304,6.62
Koi Beta!NULL,Manga,1,455,6.62
Chijou wa Pocket no Naka no Niwa,Manga,1,522,6.62
Moshikashite Vampire,Manga,10,473,6.62
Houkago no Goumon Shoujo,Manga,12,7214,6.62
Kushami: Urasawa Naoki Tanpenshuu,Manga,1,2997,6.62
Zero x Zero Memories,Manga,1,3266,6.62
Youhei Pierre,Manga,4,1411,6.62
Leveling Beyond the Max,Manhwa,NULL,3496,6.62
Tetsuman: Tekken Comic,Manga,2,748,6.62
Yorokobi no Daishou,Manga,1,279,6.62
Mission! School,Manga,4,3407,6.62
Love Automation,One-shot,NULL,689,6.62
Calling,One-shot,NULL,294,6.62
12-ji no Kane ga Naru,One-shot,NULL,3732,6.62
Ai no Kotoba,Manga,1,1887,6.62
End of Eternity: The Secret Hours,Manga,2,798,6.62
Happy Tomorrow,Manga,1,1276,6.62
Tsundere! - Megane Café e Youkoso,Manga,1,1630,6.62
Watashi Igai Jinrui Zenin Yuri,Manga,2,4181,6.62
Urushiha Sarara wa Koi nado Shinai!,Manga,4,1870,6.62
"Hatsukoi, Futatabi.",Manga,3,549,6.62
Otasuke Miko Miko-chan,Manga,2,756,6.62
Kodomo no Kodomo,Manga,3,1199,6.62
Marry Max!,Manga,2,542,6.62
Pokémon Get da ze!,Manga,5,600,6.62
The Live,Manhwa,NULL,2725,6.62
Princess in the Rough,Manhwa,NULL,1518,6.62
Kyoukai Meikyuu to Ikai no Majutsushi,Light-Novel,NULL,660,6.62
"Don't Hire My Brother, Your Highness!",Manhwa,NULL,598,6.62
The Druid of Seoul Station,Manhwa,NULL,4294,6.62
Yoru wo Utau Kodomotachi,Manga,1,741,6.62
BlazBlue: Chimelical Complex,Manga,2,1183,6.62
"Katsuji Chuudokusha no Mahon Tansaku, Aruiwa Ura Toshokan no Koto: Mahotan",Manga,1,201,6.62
Zatouichi,Manga,1,692,6.62
Aladdin to Mahou no Kyuusu,Manga,1,556,6.62
Renka,Manga,1,1105,6.61
The Grand Duchess of the North Was Secretly a Villainess,Manhwa,NULL,683,6.61
Playground love,Manga,1,475,6.61
Blood-C,Manga,4,6427,6.61
Rojiura no Mahou Tantei Jimusho,One-shot,NULL,353,6.61
Soushoku Danshi Okotowari!NULL,One-shot,NULL,730,6.61
"Aishite Nai, kamo.",Manga,1,1088,6.61
Renai Kyoutei,One-shot,NULL,636,6.61
Amanusya,One-shot,NULL,680,6.61
Tokkou! Maid Thunder,Manga,3,465,6.61
"Boku no Namae wa ""Shounen A""",Manga,4,6930,6.61
Hyakuyou Daichou,One-shot,NULL,261,6.61
Inshin no Yuki,One-shot,NULL,259,6.61
12 Months,Manga,2,378,6.61
Seitokaichou desu ga Josou Hajimemashita,Manga,1,1683,6.61
Yandere-kei Otome Game no Sekai ni Tensei shiteshimatta you desu,Manga,7,3599,6.61
Lost Seven,Manga,4,1620,6.61
Zero Game,Manhwa,NULL,800,6.61
Watashi wa Akuyaku Reijou nanka ja Nai!!: Yamitsukai dakara tte Kanarazushimo Akuyaku dato Omouna yo,Light-Novel,1,612,6.61
Celestial Clothes,Manga,11,735,6.61
Urooboe Uroboros!,One-shot,NULL,5048,6.61
"Osake no Tame ni Otomege Settei wo Buchikowashita Kekka, Akuyaku Reijou ga Cheat Reijou ni Narimashita",Manga,NULL,1256,6.61
Konyakusha ga Akuyaku de Komattemasu,Manga,4,1353,6.61
Kamishiro Sousa,One-shot,NULL,238,6.61
Wild School,Manhwa,5,755,6.61
Anata no Omocha,Manga,1,559,6.61
Joshikousei to Ouji-chan,Manga,2,1143,6.61
Houkago,Manga,1,566,6.61
Renai Junky,Manga,2,1348,6.61
Shimazaki Nana@Oshigoto Boshuuchuu,Manga,NULL,2567,6.61
A Bias Girl,Manhwa,2,1902,6.61
After School: 7th Class,One-shot,NULL,822,6.61
Kiss Kiss Kiss,Manga,2,266,6.61
White Brand,Manga,1,423,6.61
Aoi Haru,Manga,1,4650,6.61
Lycanthrope Bouken Hoken,Manga,NULL,784,6.61
Agravity Boys,Manga,7,4822,6.61
1LDK♥Shitsuji,Manga,1,862,6.61
Love x Rob x Stockholm,Manga,2,872,6.61
Akuma no Ikenie,Manga,3,1255,6.61
"Tsuihou no Kenja, Sekai wo Shiru: Osananajimi Yuusha no Atsuryoku kara Nigete Jiyuu ni Natta Ore",Manga,NULL,691,6.61
Ryuu to Hidarite,One-shot,NULL,461,6.61
Echo-Pun,Manga,2,553,6.61
Eien wo Sagashite,Manga,1,323,6.61
Hajimete...,One-shot,NULL,1327,6.61
"Kantan dakedo, Mendokusai",Manga,1,857,6.61
Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,Light-Novel,NULL,1598,6.61
Angry,Manhwa,6,387,6.61
Amaama-kun no Okashi na Yuuwaku,Manga,NULL,735,6.61
"Kimi to Kyun Koi, Shiyou.",Manga,1,2894,6.61
Circus Kitan,Manga,1,380,6.61
Soul Eater NOT!,Manga,5,22772,6.61
Shouhin wa Okuman Chouja!,Manga,1,312,6.61
Muramasa,Manga,5,872,6.61
She Would Never Know,Manhwa,NULL,549,6.61
Snow Line,Manga,1,297,6.61
Mister X wo Sagase,Manga,1,371,6.61
Kinsei no Reveal,Manga,2,542,6.61
Soretomo Time Leap ni SuruNULL,Manga,2,659,6.61
Hoshi ni Memai wo,One-shot,NULL,251,6.61
Enma Gavel,One-shot,NULL,997,6.61
Araki-kun wa Kainarasenai,Manga,2,1058,6.61
Watashi no Tame ni Nuginasai!,Manga,NULL,619,6.61
Ojisan to Marshmallow,Manga,5,788,6.61
Sicilia de Aishite,Manga,1,393,6.61
Emeth Meth,Manga,3,622,6.61
Mizu no Naka,One-shot,NULL,539,6.61
Suki Kirai Kiss,Manga,3,564,6.61
Eniro*Cinderella,Manga,6,424,6.61
Perfect Marriage Revenge,Manhwa,NULL,1283,6.61
Puppy Lovers,Manga,3,7989,6.61
Meikyuu Yaburi no Hananusubito,One-shot,NULL,600,6.61
Shinigami no Aria,One-shot,NULL,1162,6.61
Hana*Koi dj - Lovely Rabbit,Doujinshi,1,249,6.61
Region,Manga,3,1371,6.61
Suki Suki♡Darling,Manga,1,430,6.61
Strawberry Kiss,Manga,1,1355,6.61
"Sono Otoko, Amatou ni Tsuki",Manga,1,1160,6.61
Nguruwa Kaihou,Manga,4,606,6.61
Oya Niwa Naisho no Koimonogatari,Manga,1,423,6.61
Fate/Prototype: Tribute Phantasm,Manga,1,1154,6.61
Brave Star☆Romantics,Manga,3,1088,6.61
Corpse Party: Coupling x Anthology,Manga,1,1066,6.61
Imouto ni Konyakusha wo Yuzure to Iwaremashita: Saikyou no Ryuu ni Kiniirarete Masaka no Oukoku NottoriNULL,Manga,NULL,3260,6.61
Houkago Chocolate,One-shot,NULL,726,6.61
Sword Art Online: Kirito no Aincrad Night,Manga,1,1646,6.61
Japon,Manga,1,1383,6.61
Boku no Kanojo-sensei,Light-Novel,9,1047,6.61
Dorothy wa GokigennanameNULL,Manga,3,1594,6.61
Maou sa,One-shot,NULL,368,6.61
Jinzou Shoujo,Manga,2,1849,6.61
"""Mou.... Hatarakitakunai n desu"": Boukensha nanka Yameteyaru. Imasara, Taiguu wo Kaeru kara to Onegaisaretemo Okotowari desu. Boku wa Zettai Hatarakimasen.",Manga,NULL,1151,6.61
Harukoma,One-shot,NULL,1623,6.61
Toubousha Elio,Manga,5,1020,6.61
Tsumasakidachi no Alice,Manga,3,759,6.61
Tokiwa Kitareri!!,Manga,13,2385,6.61
Milky Way,Manga,1,794,6.61
Saikyou Juzoku Tensei: Cheat Majutsushi no Slow Life,Light-Novel,NULL,891,6.61
Kyoudai hodo Chikaku Tooimono wa Nai,Manga,6,6378,6.61
Monk!,Manhwa,6,817,6.61
Ren'ai Choukyou - Host Yuugi,Manga,1,397,6.61
Hiiragi Shougakkou Renai Club,Manga,7,1482,6.61
Battle Field,Manga,1,320,6.61
Haruno to Natsukawa.,Manga,1,693,6.61
Violence & Peace,Manga,1,563,6.61
Kimi to Harujion,Manga,1,451,6.61
Watashi wa Gotsugou Shugi na Kaiketsu Tantou no Oujo de Aru,Manga,NULL,1272,6.61
Megami no Libra,Manga,4,2621,6.61
Savage Fang Ojousama: Shijou Saikyou no Youhei wa Shijou Saikyou no Bougyaku Reijou to Natte Nidome no Sekai wo Musou suru,Manga,NULL,551,6.61
"""Kukuku....... Yatsu wa Shitennou no Naka demo Saijaku"" to Kaiko sareta Ore, Naze ka Yuusha to Seijo no Shishou ni Naru",Manga,NULL,1315,6.6
Dois Sol,Manga,2,461,6.6
G,Manga,1,981,6.6
Danshi Koukousei wo Yashinaitai Oneesan no Hanashi,Manga,13,15550,6.6
Foo Fighter Fuji,One-shot,NULL,996,6.6
Yoru no Uta,Manga,1,495,6.6
High-Risk Mission Therapy,Manga,5,5264,6.6
Fate/Grand Order: Ordú Beag,One-shot,NULL,463,6.6
Himitsu no Kakera,Manga,1,430,6.6
Pocket Monsters RéBURST,Manga,8,1620,6.6
Kokoro no Subete wo,Manga,1,476,6.6
